uuid,gov_id,first_name,last_name,email,phone_number,channel_type,birth_date,gender,occupation,maritial_status,education_level,wage,client_sector,country,state,city,address_neighborhood,address_street,address_number,address_complement,postal_code,utm_source,utm_medium,utm_campaign,is_active,created_at,updated_at,user_uuid,negotiation_status
2fabc0fc-aaf3-417b-9942-0d53628878ec,13208992696,Douglas,Silva,douglas@gmail.com,+5535998723078,offline,,f,Engenheiro de Dados 2,married,primary,19997.14,public,brazil,ap,,,,145.0,asd 2,,direct,cpc,,1,2025-07-03 20:18:35.404000,2025-07-03 21:00:56.000000,,waiting_attendance
61a5d084-3bcb-4bea-939c-dba86f4dd93a,34567890123,Carla,Oliveira Silva,carla.oliveira@example.com,+5511777777777,online,1990-01-01,m,Developer,single,doctorate,9001.0,private,Brazil,mg,Belo Horizonte,,Av. Afonso Pena,300.0,Sala 101,30130-003,linkedin,social,winter-promo,1,2025-07-03 19:15:53.200000,2025-07-03 22:13:24.000000,,waiting_attendance
6e40df0f-401c-4cfd-915d-c8a64f82ba4d,34522410313,Carla,Oliveira,carla41.oliveira@gmail.com,+5513777777777,online,1995-12-22,f,,,,,,brazil,,,,,,,,,,,1,2025-07-06 23:11:09.754190,2025-07-06 23:11:09.754190,,waiting_attendance
759e5458-55f8-49f7-b291-e7e6f0868132,23456789012,Bruno,Souza,bruno.souza@example.com,+5511888888888,offline,1985-05-15,f,Designer,married,master,4000.0,public,Brazil,sp,Rio de Janeiro,asdasdasd,Rua das Laranjeiras,200.0,Casa,22240003,instagram,email,autumn-campaign,1,2025-07-03 19:15:53.199000,2025-07-03 22:16:33.000000,,waiting_attendance
82517a2e-cb9f-4dde-9b6c-38f558f2bddf,34567290122,Maria,Aparecida,maria.apareceida@gmail.com,35998772849,online,,m,asdasd,single,,,,brazil,,,,,,,,,,,1,2025-07-03 22:48:11.117000,2025-07-03 22:48:11.117000,,waiting_attendance
91077692-c0cd-42b1-8d70-2c9f52144088,00022410313,Carla,Oliveira,carla411.oliveira@gmail.com,+5511637777777,online,1995-12-01,f,,,,,,brazil,,,,,,,,,,,1,2025-07-06 23:11:55.372637,2025-07-06 23:11:55.372637,,waiting_attendance
aeac44ee-6371-4b30-858f-a7855ae0036f,12345678901,Alice,Silva,alice.silva@example.com,+5511999999999,online,1990-01-01,f,Engineer,single,bachelor,5000.0,private,Brazil,sp,São Paulo,,Av. Paulista,1000.0,Apt 101,01310-100,google,cpc,summer-sale,1,2025-07-03 19:15:53.202902,2025-07-03 22:03:29.000000,,waiting_attendance
c729a0b6-dcdb-40d3-9952-15694928050d,34567290123,Carla,Oliveira,carla.olive2ira@example.com,+5511777747777,online,1995-09-20,f,Developer,single,doctorate,9000.0,private,Brazil,mg,Belo Horizonte,,Av. Afonso Pena,300.0,Sala 10,30130-003,linkedin,social,winter-promo,1,2025-07-03 22:03:29.642021,2025-07-03 22:03:29.642021,,waiting_attendance
ee56c9a4-f921-4db4-9df4-d6a7e008f235,34522490313,Carla,Oliveira,carla.oliveira@gmail.com,+5512777777777,online,1995-12-23,f,,,,,,brazil,,,,,,,,,,,1,2025-07-06 22:33:47.541379,2025-07-06 22:33:47.541379,,waiting_attendance
f38d012c-49cc-4477-bb24-4564bcf3bdd3,01122410313,Carla,Oliveira,carla4121.oliveira@hotmail.com,+4510637777777,online,1994-12-31,f,,,,,,brazil,,,,,,,,,,,1,2025-07-06 23:14:24.518179,2025-07-06 23:14:24.518179,,waiting_attendance
f58e845d-5768-4bc8-994d-1a9cbbf9b299,00122410313,Carla,Oliveira,carla411.oliveira@hotmail.com,+5510637777777,online,1995-11-30,f,,,,,,brazil,,,,,,,,,,,1,2025-07-06 23:13:16.335246,2025-07-06 23:13:16.335246,,waiting_attendance
